time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-06T20:54:10.350Z,38.7911682,-122.7618332,1.07,0.53,md,6,120,0.02065,0.02,nc,nc72949936,2018-01-06T21:19:03.467Z,"2km NNW of The Geysers, CA",earthquake,0.45,1.32,0.04,2,automatic,nc,nc
2018-01-06T20:40:30.183Z,59.0053,-154.3643,145.7,2.8,ml,,,,0.52,ak,ak17960324,2018-01-06T20:55:10.335Z,"88km SSE of Old Iliamna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-01-06T20:36:44.491Z,59.0504,-136.9738,0,2.7,ml,,,,0.72,ak,ak17960322,2018-01-06T20:50:55.678Z,"89km WSW of Haines, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-01-06T20:12:51.460Z,19.453167,-155.9118347,7.71,1.96,md,22,185,0.03487,0.26,hv,hv70007787,2018-01-06T20:16:01.610Z,"4km SSE of Captain Cook, Hawaii",earthquake,0.85,1.06,0.14,8,automatic,hv,hv
2018-01-06T19:57:57.949Z,61.372,-140.189,7.3,1.8,ml,,,,0.63,ak,ak17958337,2018-01-06T20:05:01.309Z,"160km WNW of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2018-01-06T19:56:04.805Z,61.2174,-151.9642,99.3,1.9,ml,,,,0.48,ak,ak17958336,2018-01-06T20:00:39.841Z,"69km NNW of Nikiski, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-01-06T19:52:32.060Z,46.4559,154.285,21.25,4.6,mb,,178,7.015,0.89,us,us1000c1ii,2018-01-06T22:47:11.040Z,"East of the Kuril Islands",earthquake,11.5,6.9,0.093,35,reviewed,us,us
2018-01-06T19:52:31.200Z,19.4556,-68.111,24,2.59,md,7,252,1.4056,0.13,pr,pr2018006008,2018-01-07T00:38:02.696Z,"101km NNE of Punta Cana, Dominican Republic",earthquake,1.85,13.08,0.2,4,reviewed,pr,pr
2018-01-06T19:48:22.530Z,46.201,-122.1946667,3.5,0.08,ml,8,117,0.01375,0.11,uw,uw61363246,2018-01-06T23:49:58.100Z,"37km NNE of Amboy, Washington",earthquake,0.54,0.67,0.079,6,reviewed,uw,uw
2018-01-06T19:46:30.240Z,38.8258324,-122.8054962,2.29,1.33,md,19,73,0.01726,0.04,nc,nc72949906,2018-01-06T21:53:02.518Z,"7km NW of The Geysers, CA",earthquake,0.26,0.63,0.25,5,automatic,nc,nc
2018-01-06T18:57:28.650Z,33.4965,-116.7881667,6.22,0.73,ml,22,46,0.08079,0.15,ci,ci37848151,2018-01-06T19:01:02.051Z,"9km NE of Aguanga, CA",earthquake,0.22,0.88,0.141,19,automatic,ci,ci
2018-01-06T18:56:43.240Z,46.8408333,-121.923,6.91,-0.15,md,10,134,0.01778,0.09,uw,uw61363241,2018-01-06T23:35:00.880Z,"26km E of Eatonville, Washington",earthquake,0.35,0.48,0.335,9,reviewed,uw,uw
2018-01-06T18:55:11.920Z,37.6349983,-118.9128342,6.1,1.25,md,16,59,0.0119,0.02,nc,nc72949896,2018-01-06T20:57:03.429Z,"6km E of Mammoth Lakes, CA",earthquake,0.53,0.74,0.16,15,automatic,nc,nc
2018-01-06T18:48:21.300Z,33.5971667,-116.35,0.83,1.19,ml,6,237,0.2341,0.22,ci,ci37848143,2018-01-06T18:52:06.642Z,"8km SSW of La Quinta, CA",earthquake,2.47,31.61,0.264,11,automatic,ci,ci
2018-01-06T18:48:05.960Z,36.4066658,-120.9836655,4.8,2.09,md,16,156,0.03378,0.04,nc,nc72949891,2018-01-06T20:29:03.383Z,"20km SE of Pinnacles, CA",earthquake,0.34,0.55,0.22,11,automatic,nc,nc
